Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
7,Cumsum,AI_CPU,3,257.785,71.602,85.928,110.062,0.079
7,_layer_norm_fwd_1pass_kernel_npu,AI_VECTOR_CORE,48,220.544,4.36,4.595,4.9,0.068
7,MaskedFill,AI_VECTOR_CORE,26,219.004,3.14,8.423,14.82,0.067
7,fused_gdn_gating_kernel,AI_VECTOR_CORE,48,200.423,3.84,4.175,5.04,0.062
7,GatherElements,AI_VECTOR_CORE,18,196.685,9.7,10.927,15.2,0.06
7,Sub,AI_VECTOR_CORE,85,178.704,1.18,2.102,11.04,0.055
7,GatherV2,AI_VECTOR_CORE,26,176.723,2.76,6.797,11.881,0.054
7,GreaterEqual,AI_VECTOR_CORE,58,166.704,2.34,2.874,3.52,0.051
7,RopeWithSinCosCache,AI_VECTOR_CORE,17,154.763,8.78,9.104,9.8,0.048
7,add_gemma_rms_norm_kernel_2,AI_VECTOR_CORE,24,150.363,4.64,6.265,7.24,0.046
7,chunk_local_cumsum_scalar_kernel,AI_VECTOR_CORE,48,147.923,2.92,3.082,3.4,0.045
7,SoftmaxV2,AI_VECTOR_CORE,2,147.223,73.522,73.612,73.702,0.045
7,Greater,AI_VECTOR_CORE,49,144.643,2.58,2.952,3.4,0.044
7,ForeachCopy,AI_VECTOR_CORE,30,144.144,3.9,4.805,5.6,0.044
7,Less,AI_VECTOR_CORE,52,136.701,2.14,2.629,3.3,0.042
7,FloorDiv,AI_VECTOR_CORE,63,133.383,1.74,2.117,3.98,0.041
7,ZerosLike,AI_VECTOR_CORE,78,132.483,1.22,1.698,2.54,0.041
7,Tile,AI_VECTOR_CORE,54,112.763,1.6,2.088,2.68,0.035
7,MemSet,AI_VECTOR_CORE,6,101.622,15.62,16.937,23.221,0.031
7,split_qkvgate_gemma_rmsnorm_rope_kernel_2,AI_VECTOR_CORE,12,96.882,7.74,8.074,8.92,0.03
7,apply_interleaved_rope_kernel_7,AI_VECTOR_CORE,12,79.122,6,6.593,7.2,0.024
7,LogicalAnd,AI_VECTOR_CORE,52,76.683,1.18,1.475,1.88,0.024
7,GatherV3,AI_VECTOR_CORE,18,56.561,2.78,3.142,3.76,0.017
7,ArgMaxWithValue,AI_VECTOR_CORE,13,49.402,1.46,3.8,30.281,0.015
7,LogicalOr,AI_VECTOR_CORE,26,39.542,1.36,1.521,1.84,0.012
7,LogicalNot,AI_VECTOR_CORE,26,39.161,1.36,1.506,1.78,0.012
7,cache_loc_assign,AI_VECTOR_CORE,6,35.841,4.68,5.974,7.5,0.011
7,ClipByValueV2,AI_VECTOR_CORE,6,32.361,5.04,5.393,6.04,0.01
7,build_tree_efficient,AI_VECTOR_CORE,6,31.601,5.04,5.267,5.46,0.01
7,DSARandomUniform,DSA_SQE,1,24.341,24.341,24.341,24.341,0.007
7,NonZero,MIX_AIV,6,18.92,3,3.153,3.44,0.006
7,_gather_rows_kernel,AI_VECTOR_CORE,6,17.261,2.7,2.877,3.1,0.005
7,compute_position_kernel,AI_VECTOR_CORE,8,17.181,1.48,2.148,2.62,0.005
7,NotEqual,AI_VECTOR_CORE,6,16.4,2.32,2.733,2.9,0.005
7,RealDiv,AI_VECTOR_CORE,2,16.281,7.28,8.14,9,0.005
7,SelectV2,AI_VECTOR_CORE,7,15.36,1.8,2.194,2.36,0.005
7,verify_tree_greedy_kernel,AI_VECTOR_CORE,6,11.48,1.58,1.913,2.28,0.004
7,assign_draft_cache_locs_contiguous,AI_VECTOR_CORE,6,10.281,1.64,1.713,1.86,0.003
7,Abs,AI_VECTOR_CORE,1,8.7,8.7,8.7,8.7,0.003
7,Log,AI_VECTOR_CORE,1,8.58,8.58,8.58,8.58,0.003
7,TensorMove,AI_VECTOR_CORE,1,8.32,8.32,8.32,8.32,0.003
7,fill_bonus_tokens,AI_VECTOR_CORE,6,7.9,1.24,1.317,1.42,0.002
7,ReduceMax,MIX_AIV,4,7.001,1.48,1.75,2,0.002
7,assign_req_to_token_pool,AI_VECTOR_CORE,1,2.6,2.6,2.6,2.6,0.001
7,alloc_extend_kernel,AI_VECTOR_CORE,1,2.24,2.24,2.24,2.24,0.001
7,ReduceAny,MIX_AIV,1,2.04,2.04,2.04,2.04,0.001
7,ReduceSum,MIX_AIV,1,1.78,1.78,1.78,1.78,0.001
