Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
7,MatMulV2,AI_CORE,2249,190763.292,9.24,84.821,978.64,58.574
7,Transpose,AI_VECTOR_CORE,158,70100.301,16.28,443.673,16086.442,21.524
7,recurrent_gated_delta_rule_20,AI_VECTOR_CORE,288,7090.781,22.281,24.621,27.881,2.177
7,add_gemma_rms_norm_kernel_1,AI_VECTOR_CORE,780,5017.775,4.62,6.433,14.001,1.541
7,IndexPutV2,AI_VECTOR_CORE,85,4687.574,1.98,55.148,2052.361,1.439
7,Slice,AI_VECTOR_CORE,1894,4152.144,1.38,2.192,14.821,1.275
7,move_cache_dynamic_last_kernel_h_block,AI_VECTOR_CORE,12,3204.725,0.98,267.06,541.191,0.984
7,FusedInferAttentionScore,MIX_AIC,131,3168.403,13.4,24.186,33.141,0.973
7,SwiGlu,AI_VECTOR_CORE,467,2459.687,4.38,5.267,9.34,0.755
7,causal_conv1d_4_mix_aiv,MIX_AIV,288,2292.063,6.98,7.959,9.34,0.704
7,solve_tril_16x16_kernel_paral_v3,AI_VECTOR_CORE,48,2281.746,47.221,47.536,50.001,0.701
7,Cast,AI_VECTOR_CORE,1177,2196.463,1.1,1.866,15.58,0.674
7,ConcatD,AI_VECTOR_CORE,371,2135.164,2.26,5.755,23.181,0.656
7,fused_gdn_gating_kernel_without_sigmoid_kernel_5,AI_VECTOR_CORE,288,2065.144,5.86,7.171,12.84,0.634
7,Index,AI_VECTOR_CORE,144,1783.774,5.68,12.387,19.361,0.548
7,ScatterNdUpdate,MIX_AIV,262,1590.535,4.26,6.071,8.32,0.488
7,recompute_w_u_fwd_kernel_npu_kernel,MIX_AIC,48,1512.149,30.341,31.503,33.421,0.464
7,ted_delta_rule_fwd_kernel_h_blockdim64_npu_kernel,MIX_AIC,48,1403.43,26.801,29.238,32.681,0.431
7,_layer_norm_fwd_1pass_kernel_npu_0,AI_VECTOR_CORE,288,1320.864,4.3,4.586,4.88,0.406
7,Fill,AI_VECTOR_CORE,945,1263.427,1.12,1.337,3.06,0.388
7,chunk_scaled_dot_kkt_fwd_trans_kernel,MIX_AIC,48,1224.864,22.781,25.518,28.781,0.376
7,split_qkvgate_gemma_rmsnorm_rope_kernel_1,AI_VECTOR_CORE,102,1176.282,11.12,11.532,12.78,0.361
7,chunk_fwd_kernel_o_npu_kernel,MIX_AIC,48,937.978,18.18,19.541,22.26,0.288
7,ViewCopy,AI_VECTOR_CORE,74,798.079,7.9,10.785,16.78,0.245
7,merge_16x16_to_64x64_inverse_kernel,MIX_AIC,48,757.157,14.12,15.774,18.021,0.232
7,ArgMaxV2,AI_VECTOR_CORE,25,750.696,29.601,30.028,30.941,0.231
7,add_gemma_rms_norm_kernel,AI_VECTOR_CORE,130,731.015,3.92,5.623,7.46,0.224
7,l2norm_fwd_kernel_opt,AI_VECTOR_CORE,96,632.693,3.88,6.591,12.86,0.194
7,_conv_state_rollback_kernel,AI_VECTOR_CORE,12,632.093,0.92,52.674,130.383,0.194
7,Mul,AI_VECTOR_CORE,233,580.393,1.42,2.491,3.62,0.178
7,BroadcastTo,AI_VECTOR_CORE,85,579.05,1.24,6.812,23.301,0.178
7,OnesLike,AI_VECTOR_CORE,302,514.289,1.14,1.703,2.14,0.158
7,Sigmoid,AI_VECTOR_CORE,131,440.71,1.78,3.364,4.04,0.135
7,Range,AI_VECTOR_CORE,54,434.128,4.12,8.039,13.2,0.133
7,GemmaRmsNorm,AI_VECTOR_CORE,98,408.569,2.46,4.169,6.5,0.125
7,causal_conv1d,MIX_AIV,48,382.906,7.16,7.977,8.7,0.118
7,Add,AI_VECTOR_CORE,148,353.706,1.38,2.39,8.16,0.109
