Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Abs_Tiling,6.21,1,6.21,6.21,6.21,0
host,acl,Add_Tiling,9.46,1,9.46,9.46,9.46,0
host,communication,AivKernel,3276.68,134,24.453,18.61,76.36,48.062
host,acl,ArgMaxV2_Tiling,6.97,1,6.97,6.97,6.97,0
host,acl,BroadcastTo_Tiling,686.06,36,19.057,5.54,57.27,262.919
host,acl,Cast_Tiling,49.87,3,16.623,4.21,28.53,98.705
host,acl,IndexPutV2_Tiling,268.55,36,7.46,4.12,13.69,5.455
host,acl,Log_Tiling,10.22,1,10.22,10.22,10.22,0
host,acl,NonZero_Tiling,61.85,12,5.154,1.01,13.5,17.875
host,acl,OpType::ALLGATHER,7238.92,132,54.84,41.44,220.16,386.99
host,acl,OpType::BARRIER,101.16,2,50.58,46.19,54.97,19.272
host,acl,RealDiv_Tiling,7.03,1,7.03,7.03,7.03,0
host,acl,RopeWithSinCosCache_Tiling,604.91,34,17.791,0.89,63.85,437.91
host,acl,Slice_Tiling,679.31,16,42.457,16.06,89.54,306.739
host,acl,Sub_Tiling,26.09,1,26.09,26.09,26.09,0
host,acl,aclmdlRICaptureGetInfo,387.2,959,0.404,0.16,2.31,0.142
host,acl,aclmdlRICaptureTaskUpdateBegin,233.96,114,2.052,0.93,4.64,0.289
host,acl,aclmdlRICaptureTaskUpdateEnd,258.7,114,2.269,0.98,5.26,0.399
host,acl,aclmdlRIExecuteAsync,356.32,18,19.796,15.65,29.15,12.79
host,acl,aclnnAdd,713.32,57,12.514,9.25,20.23,6.705
host,acl,aclnnAdds,376,30,12.533,9.63,22.53,7.357
host,acl,aclnnAny,17.41,1,17.41,17.41,17.41,0
host,acl,aclnnArange,409.67,36,11.38,8.37,25.86,8.393
host,acl,aclnnArgMax,196.02,12,16.335,14.76,21.01,2.526
host,acl,aclnnBitwiseAndTensor,47.39,4,11.848,9.35,14.39,5.029
host,acl,aclnnBitwiseNot,23.28,2,11.64,11.3,11.98,0.116
host,acl,aclnnBitwiseOrTensor,24.97,2,12.485,12.21,12.76,0.076
host,acl,aclnnCat,770.14,61,12.625,8.94,22.39,4.88
host,acl,aclnnCatGetWorkspaceSize,41.28,2,20.64,19.55,21.73,1.188
host,acl,aclnnClamp,71.51,6,11.918,10.3,13.87,1.21
host,acl,aclnnCumsum,302.35,3,100.783,63.01,132.92,830.454
host,acl,aclnnCumsumGetWorkspaceSize,102.46,3,34.153,30.85,39.33,13.74
host,acl,aclnnEmbedding,29.52,2,14.76,13.94,15.58,0.672
host,acl,aclnnFloorDivides,849,51,16.647,8.79,38.37,41.574
host,acl,aclnnForeachCopy,687.54,30,22.918,17.81,33.96,15.327
host,acl,aclnnForeachCopyGetWorkspaceSize,403.11,30,13.437,9.87,20,7.781
host,acl,aclnnGather,65.58,6,10.93,10.03,12.54,0.652
host,acl,aclnnGeScalar,117.37,10,11.737,10.56,14.13,0.986
host,acl,aclnnGemmaRmsNorm,735.22,38,19.348,15.01,45.65,29.187
host,acl,aclnnGemmaRmsNormGetWorkspaceSize,566.1,38,14.897,11.89,31.17,11.719
host,acl,aclnnGtScalar,864.96,49,17.652,14.02,25.44,6.995
host,acl,aclnnIndex,2216.02,132,16.788,2.69,32.68,26.817
host,acl,aclnnIndexPutImpl,4601.2,85,54.132,31.98,126.56,616.592
host,acl,aclnnIndexPutImplGetWorkspaceSize,1680.69,36,46.686,34.86,113.25,252.733
host,acl,aclnnInnerFusedInferAttentionScore,4365.82,131,33.327,22.77,61.64,68.093
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,2084.66,131,15.913,7.46,46.85,53.539
host,acl,aclnnInplaceCopy,7312.89,591,12.374,3.82,23.33,6.403
host,acl,aclnnInplaceCopyGetWorkspaceSize,1923.14,127,15.143,7.07,104.95,85.787
host,acl,aclnnInplaceDiv,12.02,1,12.02,12.02,12.02,0
host,acl,aclnnInplaceFillScalar,839.25,93,9.024,1.7,28.49,23.653
host,acl,aclnnInplaceMaskedFillScalar,23.87,2,11.935,11.21,12.66,0.526
host,acl,aclnnInplaceMul,184.03,17,10.825,9.28,13.12,0.718
host,acl,aclnnInplaceOne,136.8,14,9.771,8.35,13.23,2.043
host,acl,aclnnInplaceZero,935.11,78,11.989,9.59,45.44,16.784
host,acl,aclnnLtScalar,49.71,4,12.428,11.78,13.48,0.488
host,acl,aclnnMatmul,4040.45,311,12.992,9.79,43.71,7.914
host,acl,aclnnMax,60.8,4,15.2,10.51,19.74,15.17
host,acl,aclnnMaxDim,17.52,1,17.52,17.52,17.52,0
host,acl,aclnnMul,35.98,2,17.99,16.96,19.02,1.061
host,acl,aclnnMuls,204.27,16,12.767,9.19,20.91,16.018
host,acl,aclnnMultinomial,354.17,1,354.17,354.17,354.17,0
host,acl,aclnnMultinomialGetWorkspaceSize,86.61,1,86.61,86.61,86.61,0
host,acl,aclnnNeTensor,72.82,6,12.137,11.37,13.45,0.572
host,acl,aclnnNonzeroV2,124829.72,6,20804.953,19589.19,21339.16,331875.381
host,acl,aclnnNonzeroV2GetWorkspaceSize,269.86,6,44.977,39.45,64.58,80.295
host,acl,aclnnReduceSum,19.69,1,19.69,19.69,19.69,0
host,acl,aclnnRepeat,262.29,24,10.929,9.27,14.93,1.312
host,acl,aclnnRepeatInterleaveIntWithDim,101.02,6,16.837,14.94,18.12,1.284
host,acl,aclnnRepeatInterleaveIntWithDimGetWorkspaceSize,108.28,6,18.047,16.17,19.8,1.104
host,acl,aclnnRopeWithSinCosCacheV2,1906.6,17,112.153,42.81,203.42,951.313
host,acl,aclnnRopeWithSinCosCacheV2GetWorkspaceSize,1628.65,17,95.803,61.5,143.74,512.785
host,acl,aclnnSWhere,84.22,7,12.031,10.62,13.77,1.114
host,acl,aclnnScatterNdUpdate,563.3,34,16.568,13.69,23.52,4.534
host,acl,aclnnSigmoid,178.41,17,10.495,9.34,13.52,1.104
host,acl,aclnnSoftmax,27.42,2,13.71,11.94,15.48,3.133
host,acl,aclnnSub,233.43,22,10.61,8.79,14.98,1.902
host,acl,aclnnSubs,351.73,32,10.992,8.88,18.5,2.712
host,acl,aclnnSwiGlu,1449,65,22.292,16.96,82.47,78.026
host,acl,aclnnSwiGluGetWorkspaceSize,983.88,65,15.137,14.25,22.08,1.457
host,acl,aclrtCreateEventExWithFlag,1501.43,307,4.891,2.21,58.82,14.137
host,acl,aclrtDestroyEvent,1769.94,307,5.765,0.5,127.35,158.518
host,acl,aclrtFree,219.98,60,3.666,2.73,8.59,0.812
host,acl,aclrtGetCurrentContext,105.28,190,0.554,0.26,2.12,0.117
