Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtGetHardwareSyncAddr,28.04,46,0.61,0.38,1.3,0.049
host,acl,aclrtGetOpTimeOutInterval,75.18,134,0.561,0.44,1.93,0.032
host,acl,aclrtGetResInCurrentThread,664.7,1058,0.628,0.15,3.74,0.323
host,acl,aclrtGetStreamAttribute,672.76,2123,0.317,0.22,3.34,0.015
host,acl,aclrtLaunchKernelWithHostArgs,16723.83,2525,6.623,2.21,40.98,11.628
host,acl,aclrtMalloc,581.69,60,9.695,3.17,36.54,23.386
host,acl,aclrtMemcpy,1240.39,31,40.013,27.43,60.5,57.489
host,acl,aclrtMemcpyAsync,2152.75,192,11.212,4.3,137.82,151.669
host,acl,aclrtQueryEventStatus,489.42,224,2.185,0.37,24.79,5.521
host,acl,aclrtRandomNumAsync,76.02,1,76.02,76.02,76.02,0
host,acl,aclrtRecordEvent,5640.42,535,10.543,6.37,51.05,14.068
host,acl,aclrtSetCurrentContext,132.17,112,1.18,0.26,3.65,0.419
host,acl,aclrtSetDevice,667.51,18,37.084,27.56,70.75,139.148
host,acl,aclrtStreamGetId,59.44,134,0.444,0.26,1.78,0.042
host,acl,aclrtStreamWaitEvent,2013.01,300,6.71,1.61,43.48,9.136
host,acl,aclrtSynchronizeDeviceWithTimeout,78.87,1,78.87,78.87,78.87,0
host,acl,aclrtSynchronizeEvent,30.82,7,4.403,2.13,14.05,15.912
host,acl,aclrtSynchronizeStream,124330.6,27,4604.837,4.43,21217.28,73903707.768
host,acl,aclrtSynchronizeStreamWithTimeout,31666.79,41,772.361,2.98,31458.89,23541585.73
host,acl,aclrtValueWrite,765.01,114,6.711,4.57,21.89,4.839
host,node,launch,156820.76,3302,47.493,2.69,21273.89,779914.192
