Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,compute_position_kernel,AI_VECTOR_CORE,8,16.061,1.46,2.008,2.46,0.005
6,RealDiv,AI_VECTOR_CORE,2,15.861,7.72,7.93,8.14,0.005
6,SelectV2,AI_VECTOR_CORE,7,15.54,2.04,2.22,2.38,0.005
6,Abs,AI_VECTOR_CORE,1,15.04,15.04,15.04,15.04,0.005
6,verify_tree_greedy_kernel,AI_VECTOR_CORE,6,11.5,1.74,1.917,2.12,0.004
6,TensorMove,AI_VECTOR_CORE,1,9.5,9.5,9.5,9.5,0.003
6,Log,AI_VECTOR_CORE,1,9.2,9.2,9.2,9.2,0.003
6,assign_draft_cache_locs_contiguous,AI_VECTOR_CORE,6,8.901,1.36,1.483,1.62,0.003
6,fill_bonus_tokens,AI_VECTOR_CORE,6,8.04,1.22,1.34,1.42,0.002
6,ReduceMax,MIX_AIV,4,7.2,1.52,1.8,2.14,0.002
6,alloc_extend_kernel,AI_VECTOR_CORE,1,2.32,2.32,2.32,2.32,0.001
6,assign_req_to_token_pool,AI_VECTOR_CORE,1,2.28,2.28,2.28,2.28,0.001
6,ReduceAny,MIX_AIV,1,2.06,2.06,2.06,2.06,0.001
6,ReduceSum,MIX_AIV,1,1.8,1.8,1.8,1.8,0.001
