Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
6,4294967295,16537,41,aclnnMatmul_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1789485642559995.897	,80.942,436.750000,22,0,NO,"""1,5120;8192,5120""",DT_BF16;DT_BF16,ND;ND,"""1,8192""",DT_BF16,ND,N/A,64.723,2563041,7.798,0.12,25.018,0.387,21.826,0.337,61.608,0.952,0.364,0.006,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.299
6,4294967295,16538,41,aclnnMatmul_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1789485642560385.305	,9.380,308.308000,3,0,NO,"""1,5120;48,5120""",DT_BF16;DT_BF16,ND;ND,"""1,48""",DT_BF16,ND,N/A,8.739,47191,1.381,0.158,8.476,0.97,1.762,0.202,4.808,0.55,0.174,0.02,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.646
6,4294967295,16539,41,aclnnCat_ConcatD_ConcatD,ConcatD,dynamic,AI_VECTOR_CORE,1789485642561398.545	,17.661,1003.870000,46,0,NO,"""1,1024;1,1024;1,3072""",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"""1,5120""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.68,1215494,0.023,0.002,1.531,0.104,0.142,0.01,0.207,0.014,0.235,0.000
6,4294967295,16540,41,aclnnGtScalar_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1789485642562130.040	,1.360,713.839000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897,1614,0.026,0.029,0.274,0.305,0.226,0.252,0.115,0.128,0.219,0.000
6,4294967295,16541,41,aclnnGtScalar_GreaterAiCore_Greater,Greater,dynamic,AI_VECTOR_CORE,1789485642562131.780	,2.560,0.390000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,3798,0.567,0.269,0.578,0.274,0.194,0.092,0.108,0.051,0.163,0.000
6,4294967295,16542,41,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1789485642562504.828	,9.420,370.440000,41,0,NO,"""7728,6,5120;3;3""",DT_BF16;INT64;INT64,NCL;ND;ND,"""161,3,5120""",DT_BF16,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.607,561377,0.008,0.001,0.493,0.065,4.007,0.527,1.497,0.197,0.248,0.000
6,4294967295,16543,41,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1789485642563300.503	,1.280,786.330000,1,0,NO,"""2""",INT32,ND,"""2""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762,1371,0.026,0.034,0.266,0.349,0.195,0.256,0.116,0.152,0.194,0.000
6,4294967295,16544,41,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1789485642563624.110	,1.300,322.220000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754,1357,0.026,0.035,0.278,0.369,0.194,0.258,0.094,0.125,0.197,0.000
6,4294967295,16545,41,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1789485642563919.816	,1.360,294.450000,1,0,NO,"""1""",BOOL,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827,1488,0.052,0.063,0.271,0.328,0.113,0.136,0.106,0.128,0.178,0.000
6,4294967295,16546,41,causal_conv1d,causal_conv1d,dynamic,MIX_AIV,1789485642564179.241	,7.880,258.140000,2,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.057,25405,1.755,0.249,3.082,0.437,0.544,0.077,0.26,0.037,0.189,0.000
6,4294967295,16547,41,aclnnInplaceCopy_ViewCopyAiCore_ViewCopy,ViewCopy,dynamic,AI_VECTOR_CORE,1789485642564427.226	,11.340,240.120000,48,0,NO,"""237404160;3;3;1;161,3,5120;3;3;1""",DT_BF16;INT64;INT64;INT64;DT_BF16;INT64;INT64;INT64,NCL;ND;ND;ND;NCL;ND;ND;ND,"""237404160""",DT_BF16,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.286,715868,0.016,0.002,0.91,0.11,2.336,0.282,0.997,0.12,0.328,0.000
6,4294967295,16548,41,fused_gdn_gating_kernel,fused_gdn_gating_kernel,static,AI_VECTOR_CORE,1789485642565402.925	,4.181,964.410000,1,0,YES,"""24;1,24;1,24""",FLOAT;DT_BF16;DT_BF16,ND;ND;ND,"""1,1,24;1,1,24""",FLOAT;DT_BF16,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.734,6722,0.774,0.207,1.538,0.412,0.854,0.229,0.661,0.177,0.059,0.000
